DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1964-0038-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Assam, Bihar, Punjab",,,Yes,No,No,,,Km2,,,,1964,7,,1964,7,,145,,752210,,752210,,,,,,,10.17935249,,01-07-2003,25-09-2023
1964-0055-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Andhra Pradesh,,,Yes,No,No,,,Km2,,,,1964,10,,1964,10,,,,18400,,18400,,,,,500,4912,10.17935249,,01-07-2003,25-09-2023
1964-0068-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Rameswaram,,,No,No,No,,,Kph,,,,1964,12,17,1964,12,17,500,,,,,,,,,,,10.17935249,,01-07-2003,25-09-2023
1964-0097-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1964,9,,1964,9,,51,,,,,,,,,,,10.17935249,,01-07-2003,25-09-2023
1964-0101-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1964,9,,1964,9,,36,,,,,,,,,,,10.17935249,,01-07-2003,25-09-2023
1964-9009-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,"Rajasthan, center",,,Yes,No,No,,,Km2,,,,1964,7,,1964,,,,,500000,,500000,,,,,,,10.17935249,,13-02-2006,25-09-2023
1964-9044-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,Mysore,,Famine,Yes,No,No,,,Km2,,,,1964,8,,1964,,,,,166000,,166000,,,,,,,10.17935249,,08-08-2006,25-09-2023
1965-0096-IND,Yes,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,°C,,,,1965,6,,1965,6,,100,,,,,,,,,,,10.34071295,,01-07-2003,25-09-2023
1965-9073-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,Nationwide except south,,Famine,Yes,No,No,,,Km2,,,,1965,,,1967,,,1500000,,100000000,,100000000,,,,,100000,967051,10.34071295,,14-09-2006,25-09-2023
1966-0046-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Manipur, Assam",,,Yes,No,No,,,Km2,,,,1966,6,,1966,6,,47,,900000,,900000,,,,,1400,13142,10.65249707,,01-07-2003,25-09-2023
